ENLIGHTEN Version,1.7.2
Measurement ID,20190905-090249-609633-WP-00340
Serial Number,WP-00340
Label,HDPE-1
Integration Time,500
Timestamp,2019-09-05 09:02:49.609633
Note,
Temperature,9.99381697227335
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,152.00
1,801.86,267.83,169.00
2,802.00,270.02,221.00
3,802.14,272.22,297.00
4,802.28,274.41,348.00
5,802.42,276.60,443.00
6,802.56,278.80,576.00
7,802.71,280.99,729.00
8,802.85,283.18,917.00
9,802.99,285.37,1122.00
10,803.13,287.55,1353.00
11,803.27,289.74,1645.00
12,803.41,291.93,1929.00
13,803.55,294.11,2190.00
14,803.69,296.30,2367.00
15,803.83,298.48,2580.00
16,803.98,300.66,2732.00
17,804.12,302.84,2861.00
18,804.26,305.02,2909.00
19,804.40,307.20,2920.00
20,804.54,309.38,2925.00
21,804.68,311.56,2967.00
22,804.82,313.74,2952.00
23,804.96,315.91,2983.00
24,805.10,318.09,2961.00
25,805.24,320.26,2982.00
26,805.39,322.43,2993.00
27,805.53,324.61,3008.00
28,805.67,326.78,3021.00
29,805.81,328.95,3045.00
30,805.95,331.12,3069.00
31,806.09,333.28,3047.00
32,806.23,335.45,3080.00
33,806.37,337.62,3048.00
34,806.51,339.78,3087.00
35,806.65,341.95,3101.00
36,806.79,344.11,3122.00
37,806.93,346.27,3111.00
38,807.08,348.43,3116.00
39,807.22,350.59,3093.00
40,807.36,352.75,3136.00
41,807.50,354.91,3061.00
42,807.64,357.07,3100.00
43,807.78,359.23,3139.00
44,807.92,361.38,3129.00
45,808.06,363.54,3080.00
46,808.20,365.69,3080.00
47,808.34,367.84,3127.00
48,808.48,370.00,3078.00
49,808.62,372.15,3104.00
50,808.76,374.30,3112.00
51,808.90,376.45,3063.00
52,809.04,378.59,3125.00
