ENLIGHTEN Version,1.7.2
Measurement ID,20190905-082322-728992-WP-00340
Serial Number,WP-00340
Label,08:23:22 WP-00340
Integration Time,1000
Timestamp,2019-09-05 08:23:22.728992
Note,
Temperature,10.061955931044565
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,645.00
1,801.86,267.83,803.00
2,802.00,270.02,1035.00
3,802.14,272.22,1260.00
4,802.28,274.41,1674.00
5,802.42,276.60,2134.00
6,802.56,278.80,2705.00
7,802.71,280.99,3515.00
8,802.85,283.18,4341.00
9,802.99,285.37,5361.00
10,803.13,287.55,6565.00
11,803.27,289.74,7678.00
12,803.41,291.93,8886.00
13,803.55,294.11,10084.00
14,803.69,296.30,11066.00
15,803.83,298.48,11929.00
16,803.98,300.66,12624.00
17,804.12,302.84,13077.00
18,804.26,305.02,13387.00
19,804.40,307.20,13743.00
20,804.54,309.38,13784.00
21,804.68,311.56,13925.00
22,804.82,313.74,13872.00
23,804.96,315.91,13881.00
24,805.10,318.09,13962.00
25,805.24,320.26,14066.00
26,805.39,322.43,14123.00
27,805.53,324.61,14232.00
28,805.67,326.78,14230.00
29,805.81,328.95,14291.00
30,805.95,331.12,14353.00
31,806.09,333.28,14494.00
32,806.23,335.45,14441.00
33,806.37,337.62,14505.00
34,806.51,339.78,14627.00
35,806.65,341.95,14690.00
36,806.79,344.11,14633.00
37,806.93,346.27,14685.00
38,807.08,348.43,14684.00
39,807.22,350.59,14769.00
40,807.36,352.75,14749.00
41,807.50,354.91,14806.00
42,807.64,357.07,14846.00
43,807.78,359.23,14886.00
44,807.92,361.38,14952.00
45,808.06,363.54,14979.00
46,808.20,365.69,14901.00
47,808.34,367.84,14939.00
48,808.48,370.00,14983.00
49,808.62,372.15,15015.00
50,808.76,374.30,15085.00
51,808.90,376.45,15053.00
52,809.04,378.59,15118.00
53,809.19,380.74,15253.00
54,809.33,382.89,15302.00
55,809.47,385.03,15347.00
56,809.61,387.18,15336.00
57,809.75,389.32,15478.00
58,809.89,391.46,15551.00
59,810.03,393.60,15647.00
60,810.17,395.74,15805.00
61,810.31,397.88,15847.00
62,810.45,400.02,16005.00
63,810.59,402.16,16127.00
64,810.73,404.29,16189.00
65,810.87,406.43,16358.00
66,811.01,408.57,16423.00
67,811.15,410.70,16611.00
68,811.29,412.83,16946.00
69,811.43,414.96,17144.00
70,811.57,417.09,17409.00
71,811.71,419.22,17720.00
72,811.85,421.35,17983.00
73,811.99,423.48,18331.00
74,812.13,425.61,18611.00
75,812.27,427.73,18979.00
76,812.41,429.86,19419.00
77,812.55,431.98,19667.00
78,812.69,434.11,20084.00
79,812.83,436.23,20544.00
80,812.97,438.35,21019.00
81,813.11,440.47,21150.00
82,813.26,442.59,21502.00
83,813.40,444.71,21677.00
84,813.54,446.82,21785.00
85,813.68,448.94,21706.00
86,813.82,451.05,21427.00
87,813.96,453.17,21089.00
88,814.10,455.28,20548.00
89,814.24,457.39,20115.00
90,814.38,459.51,19461.00
91,814.52,461.62,18763.00
92,814.66,463.73,18337.00
93,814.80,465.83,17707.00
94,814.94,467.94,17462.00
95,815.08,470.05,17029.00
96,815.22,472.15,16773.00
97,815.36,474.26,16478.00
98,815.50,476.36,16244.00
99,815.63,478.47,16136.00
100,815.77,480.57,15919.00
101,815.91,482.67,15830.00
102,816.05,484.77,15743.00
103,816.19,486.87,15618.00
104,816.33,488.97,15613.00
105,816.47,491.06,15599.00
106,816.61,493.16,15327.00
107,816.75,495.25,15350.00
108,816.89,497.35,15382.00
109,817.03,499.44,15238.00
110,817.17,501.53,15183.00
111,817.31,503.62,15112.00
112,817.45,505.71,15044.00
113,817.59,507.80,14941.00
114,817.73,509.89,14893.00
115,817.87,511.98,14903.00
