ENLIGHTEN Version,1.7.2
Measurement ID,20190905-083612-736463-WP-00340
Serial Number,WP-00340
Label,08:36:12 WP-00340
Integration Time,200
Timestamp,2019-09-05 08:36:12.736463
Note,
Temperature,9.99381697227335
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,412.00
1,801.86,267.83,502.00
2,802.00,270.02,624.00
3,802.14,272.22,778.00
4,802.28,274.41,1067.00
5,802.42,276.60,1343.00
6,802.56,278.80,1729.00
7,802.71,280.99,2197.00
8,802.85,283.18,2766.00
9,802.99,285.37,3476.00
10,803.13,287.55,4191.00
11,803.27,289.74,4984.00
12,803.41,291.93,5783.00
13,803.55,294.11,6535.00
14,803.69,296.30,7164.00
15,803.83,298.48,7782.00
16,803.98,300.66,8159.00
17,804.12,302.84,8602.00
18,804.26,305.02,8753.00
19,804.40,307.20,9015.00
20,804.54,309.38,8918.00
21,804.68,311.56,9061.00
22,804.82,313.74,9169.00
23,804.96,315.91,9144.00
24,805.10,318.09,9110.00
25,805.24,320.26,9280.00
26,805.39,322.43,9365.00
27,805.53,324.61,9446.00
28,805.67,326.78,9316.00
29,805.81,328.95,9401.00
30,805.95,331.12,9485.00
31,806.09,333.28,9595.00
32,806.23,335.45,9689.00
33,806.37,337.62,9664.00
34,806.51,339.78,9808.00
35,806.65,341.95,9688.00
36,806.79,344.11,9828.00
37,806.93,346.27,9829.00
38,807.08,348.43,9824.00
39,807.22,350.59,9925.00
40,807.36,352.75,9948.00
41,807.50,354.91,9939.00
42,807.64,357.07,9943.00
43,807.78,359.23,9948.00
44,807.92,361.38,9953.00
45,808.06,363.54,9915.00
46,808.20,365.69,9906.00
47,808.34,367.84,9959.00
48,808.48,370.00,10073.00
49,808.62,372.15,10053.00
50,808.76,374.30,9995.00
51,808.90,376.45,9957.00
52,809.04,378.59,9989.00
53,809.19,380.74,10288.00
54,809.33,382.89,10199.00
55,809.47,385.03,10126.00
56,809.61,387.18,10229.00
57,809.75,389.32,10210.00
58,809.89,391.46,10364.00
59,810.03,393.60,10389.00
60,810.17,395.74,10389.00
61,810.31,397.88,10562.00
62,810.45,400.02,10526.00
63,810.59,402.16,10670.00
64,810.73,404.29,10670.00
65,810.87,406.43,10744.00
66,811.01,408.57,10868.00
67,811.15,410.70,11007.00
68,811.29,412.83,11060.00
69,811.43,414.96,11250.00
70,811.57,417.09,11317.00
71,811.71,419.22,11595.00
72,811.85,421.35,11718.00
73,811.99,423.48,11907.00
74,812.13,425.61,12047.00
75,812.27,427.73,12240.00
76,812.41,429.86,12461.00
77,812.55,431.98,12556.00
78,812.69,434.11,12801.00
79,812.83,436.23,13128.00
80,812.97,438.35,13297.00
81,813.11,440.47,13503.00
82,813.26,442.59,13663.00
83,813.40,444.71,13617.00
84,813.54,446.82,13743.00
85,813.68,448.94,13714.00
86,813.82,451.05,13564.00
87,813.96,453.17,13294.00
88,814.10,455.28,13044.00
89,814.24,457.39,12719.00
90,814.38,459.51,12460.00
91,814.52,461.62,12023.00
92,814.66,463.73,11890.00
93,814.80,465.83,11606.00
94,814.94,467.94,11294.00
95,815.08,470.05,11105.00
96,815.22,472.15,11011.00
97,815.36,474.26,10820.00
98,815.50,476.36,10706.00
99,815.63,478.47,10522.00
100,815.77,480.57,10530.00
101,815.91,482.67,10455.00
102,816.05,484.77,10372.00
103,816.19,486.87,10387.00
104,816.33,488.97,10278.00
105,816.47,491.06,10410.00
106,816.61,493.16,10387.00
107,816.75,495.25,10239.00
108,816.89,497.35,10322.00
109,817.03,499.44,10307.00
110,817.17,501.53,10295.00
111,817.31,503.62,10305.00
112,817.45,505.71,10143.00
113,817.59,507.80,10240.00
114,817.73,509.89,10295.00
115,817.87,511.98,10221.00
116,818.01,514.07,10303.00
117,818.15,516.15,10223.00
118,818.29,518.24,10307.00
119,818.43,520.32,10190.00
120,818.57,522.40,10234.00
121,818.71,524.48,10296.00
122,818.85,526.56,10279.00
123,818.99,528.64,10279.00
124,819.13,530.72,10255.00
125,819.27,532.80,10341.00
126,819.40,534.88,10286.00
127,819.54,536.95,10273.00
128,819.68,539.03,10321.00
129,819.82,541.10,10375.00
130,819.96,543.17,10484.00
131,820.10,545.24,10404.00
132,820.24,547.32,10521.00
133,820.38,549.39,10516.00
134,820.52,551.45,10627.00
135,820.66,553.52,10579.00
136,820.80,555.59,10576.00
137,820.94,557.66,10695.00
138,821.08,559.72,10713.00
139,821.22,561.78,10792.00
140,821.35,563.85,10834.00
141,821.49,565.91,10940.00
142,821.63,567.97,11083.00
143,821.77,570.03,11138.00
144,821.91,572.09,11158.00
145,822.05,574.15,11340.00
146,822.19,576.21,11448.00
147,822.33,578.26,11536.00
148,822.47,580.32,11722.00
149,822.61,582.37,11865.00
150,822.75,584.42,11911.00
151,822.88,586.48,12104.00
152,823.02,588.53,12295.00
153,823.16,590.58,12472.00
154,823.30,592.63,12582.00
155,823.44,594.68,12776.00
156,823.58,596.72,13079.00
157,823.72,598.77,13179.00
158,823.86,600.82,13435.00
159,824.00,602.86,13688.00
160,824.13,604.90,13770.00
161,824.27,606.95,13843.00
162,824.41,608.99,13844.00
163,824.55,611.03,13852.00
164,824.69,613.07,13785.00
165,824.83,615.11,13503.00
166,824.97,617.15,13406.00
167,825.10,619.18,13200.00
168,825.24,621.22,12907.00
169,825.38,623.25,12544.00
170,825.52,625.29,12489.00
171,825.66,627.32,12239.00
172,825.80,629.35,12164.00
173,825.94,631.38,11923.00
174,826.07,633.41,11734.00
175,826.21,635.44,11638.00
176,826.35,637.47,11541.00
177,826.49,639.50,11350.00
178,826.63,641.52,11078.00
179,826.77,643.55,11007.00
180,826.91,645.57,10927.00
181,827.04,647.60,10739.00
182,827.18,649.62,10716.00
183,827.32,651.64,10569.00
184,827.46,653.66,10600.00
185,827.60,655.68,10592.00
186,827.74,657.70,10549.00
187,827.87,659.71,10466.00
188,828.01,661.73,10496.00
189,828.15,663.75,10423.00
190,828.29,665.76,10362.00
191,828.43,667.77,10382.00
192,828.56,669.79,10307.00
193,828.70,671.80,10463.00
194,828.84,673.81,10392.00
195,828.98,675.82,10286.00
196,829.12,677.83,10351.00
197,829.25,679.83,10294.00
198,829.39,681.84,10241.00
199,829.53,683.84,10322.00
200,829.67,685.85,10204.00
201,829.81,687.85,10348.00
202,829.94,689.86,10254.00
203,830.08,691.86,10240.00
204,830.22,693.86,10294.00
205,830.36,695.86,10316.00
206,830.50,697.86,10221.00
207,830.63,699.85,10324.00
208,830.77,701.85,10283.00
209,830.91,703.85,10246.00
210,831.05,705.84,10242.00
211,831.18,707.84,10297.00
212,831.32,709.83,10347.00
213,831.46,711.82,10313.00
214,831.60,713.81,10315.00
215,831.74,715.80,10332.00
216,831.87,717.79,10396.00
217,832.01,719.78,10295.00
218,832.15,721.76,10308.00
219,832.29,723.75,10204.00
220,832.42,725.74,10301.00
221,832.56,727.72,10278.00
222,832.70,729.70,10143.00
223,832.84,731.68,10181.00
224,832.97,733.67,10186.00
225,833.11,735.65,10145.00
226,833.25,737.62,10151.00
227,833.39,739.60,10164.00
228,833.52,741.58,10132.00
229,833.66,743.56,10136.00
230,833.80,745.53,10119.00
231,833.93,747.51,10170.00
232,834.07,749.48,10217.00
233,834.21,751.45,10201.00
234,834.35,753.42,10213.00
235,834.48,755.39,10170.00
236,834.62,757.36,10059.00
237,834.76,759.33,10084.00
238,834.89,761.30,10003.00
239,835.03,763.26,10049.00
240,835.17,765.23,9998.00
241,835.31,767.19,9940.00
242,835.44,769.16,9972.00
243,835.58,771.12,9980.00
244,835.72,773.08,9913.00
245,835.85,775.04,9912.00
246,835.99,777.00,10050.00
247,836.13,778.96,10064.00
248,836.26,780.92,10046.00
249,836.40,782.87,10194.00
250,836.54,784.83,10282.00
251,836.68,786.78,10319.00
252,836.81,788.74,10189.00
253,836.95,790.69,10309.00
254,837.09,792.64,10075.00
255,837.22,794.59,10071.00
256,837.36,796.54,10103.00
257,837.50,798.49,10008.00
258,837.63,800.44,10141.00
259,837.77,802.38,10099.00
260,837.91,804.33,10055.00
261,838.04,806.27,10007.00
262,838.18,808.22,10046.00
263,838.31,810.16,10025.00
264,838.45,812.10,10189.00
265,838.59,814.04,10090.00
266,838.72,815.98,10200.00
267,838.86,817.92,10185.00
268,839.00,819.86,10260.00
269,839.13,821.80,10327.00
270,839.27,823.73,10415.00
271,839.41,825.67,10379.00
272,839.54,827.60,10366.00
273,839.68,829.53,10376.00
274,839.81,831.47,10440.00
275,839.95,833.40,10469.00
276,840.09,835.33,10499.00
277,840.22,837.26,10531.00
278,840.36,839.18,10475.00
279,840.50,841.11,10503.00
280,840.63,843.04,10474.00
281,840.77,844.96,10480.00
282,840.90,846.89,10292.00
283,841.04,848.81,10345.00
284,841.18,850.73,10286.00
285,841.31,852.65,10364.00
286,841.45,854.57,10206.00
287,841.58,856.49,10223.00
288,841.72,858.41,10271.00
289,841.86,860.33,10246.00
290,841.99,862.24,10223.00
291,842.13,864.16,10307.00
292,842.26,866.07,10206.00
293,842.40,867.99,10235.00
294,842.53,869.90,10240.00
295,842.67,871.81,10176.00
296,842.81,873.72,10182.00
297,842.94,875.63,10267.00
298,843.08,877.54,10195.00
299,843.21,879.44,10229.00
300,843.35,881.35,10313.00
301,843.48,883.26,10246.00
302,843.62,885.16,10189.00
303,843.75,887.06,10274.00
304,843.89,888.97,10214.00
305,844.03,890.87,10079.00
306,844.16,892.77,10161.00
307,844.30,894.67,10136.00
308,844.43,896.57,10016.00
309,844.57,898.46,10001.00
310,844.70,900.36,9974.00
311,844.84,902.26,10063.00
312,844.97,904.15,9970.00
313,845.11,906.04,9845.00
314,845.24,907.94,9941.00
315,845.38,909.83,9911.00
316,845.51,911.72,9866.00
317,845.65,913.61,9860.00
318,845.78,915.50,10020.00
319,845.92,917.38,9902.00
320,846.05,919.27,10062.00
321,846.19,921.16,9953.00
322,846.32,923.04,9917.00
323,846.46,924.92,9947.00
324,846.59,926.81,9949.00
325,846.73,928.69,9892.00
326,846.86,930.57,9938.00
327,847.00,932.45,9909.00
328,847.13,934.33,9915.00
329,847.27,936.20,9932.00
330,847.40,938.08,9928.00
331,847.54,939.96,9907.00
332,847.67,941.83,9930.00
333,847.81,943.71,9932.00
334,847.94,945.58,9890.00
335,848.08,947.45,9968.00
336,848.21,949.32,9976.00
337,848.34,951.19,10061.00
338,848.48,953.06,9943.00
339,848.61,954.93,9910.00
340,848.75,956.79,9890.00
341,848.88,958.66,9799.00
342,849.02,960.52,9841.00
343,849.15,962.39,9732.00
344,849.29,964.25,9812.00
345,849.42,966.11,9734.00
346,849.55,967.97,9768.00
347,849.69,969.83,9761.00
348,849.82,971.69,9799.00
349,849.96,973.55,9713.00
350,850.09,975.41,9736.00
351,850.23,977.26,9797.00
352,850.36,979.12,9727.00
353,850.49,980.97,9800.00
354,850.63,982.82,9801.00
355,850.76,984.68,9770.00
356,850.90,986.53,9847.00
357,851.03,988.38,9823.00
358,851.16,990.23,9848.00
359,851.30,992.07,9868.00
360,851.43,993.92,9985.00
361,851.56,995.77,10052.00
362,851.70,997.61,10137.00
363,851.83,999.46,10166.00
364,851.97,1001.30,10195.00
365,852.10,1003.14,10170.00
366,852.23,1004.98,10279.00
367,852.37,1006.82,10182.00
368,852.50,1008.66,10227.00
369,852.63,1010.50,10084.00
370,852.77,1012.34,10137.00
371,852.90,1014.17,10193.00
372,853.04,1016.01,10149.00
373,853.17,1017.84,10189.00
374,853.30,1019.68,10181.00
375,853.44,1021.51,10284.00
376,853.57,1023.34,10253.00
377,853.70,1025.17,10277.00
378,853.84,1027.00,10296.00
379,853.97,1028.83,10370.00
380,854.10,1030.65,10413.00
381,854.24,1032.48,10459.00
382,854.37,1034.31,10484.00
383,854.50,1036.13,10554.00
384,854.64,1037.95,10575.00
385,854.77,1039.77,10684.00
386,854.90,1041.60,10792.00
387,855.03,1043.42,10913.00
388,855.17,1045.24,11024.00
389,855.30,1047.05,11262.00
390,855.43,1048.87,11819.00
391,855.57,1050.69,12547.00
392,855.70,1052.50,13845.00
393,855.83,1054.32,15953.00
394,855.96,1056.13,18651.00
395,856.10,1057.94,21367.00
396,856.23,1059.75,23368.00
397,856.36,1061.56,24329.00
398,856.50,1063.37,23726.00
399,856.63,1065.18,21913.00
400,856.76,1066.99,19198.00
401,856.89,1068.80,16802.00
402,857.03,1070.60,15015.00
403,857.16,1072.41,13996.00
404,857.29,1074.21,13564.00
405,857.42,1076.01,13385.00
406,857.56,1077.81,13415.00
407,857.69,1079.61,13324.00
408,857.82,1081.41,13404.00
409,857.95,1083.21,13243.00
410,858.09,1085.01,13252.00
411,858.22,1086.81,13125.00
412,858.35,1088.60,13067.00
413,858.48,1090.40,13000.00
414,858.61,1092.19,12934.00
415,858.75,1093.98,12919.00
416,858.88,1095.77,12784.00
417,859.01,1097.56,12645.00
418,859.14,1099.35,12679.00
419,859.28,1101.14,12567.00
420,859.41,1102.93,12757.00
421,859.54,1104.72,12787.00
422,859.67,1106.50,12888.00
423,859.80,1108.29,13082.00
424,859.94,1110.07,13213.00
425,860.07,1111.85,13438.00
426,860.20,1113.63,13832.00
427,860.33,1115.41,14176.00
428,860.46,1117.19,14821.00
429,860.59,1118.97,15761.00
430,860.73,1120.75,17519.00
431,860.86,1122.53,19910.00
432,860.99,1124.30,22690.00
433,861.12,1126.08,25171.00
434,861.25,1127.85,26671.00
435,861.38,1129.62,26851.00
436,861.51,1131.39,25118.00
437,861.65,1133.17,22630.00
438,861.78,1134.93,19988.00
439,861.91,1136.70,17437.00
440,862.04,1138.47,15827.00
441,862.17,1140.24,14939.00
442,862.30,1142.00,14444.00
443,862.43,1143.77,14134.00
444,862.57,1145.53,14030.00
445,862.70,1147.29,13987.00
446,862.83,1149.06,14006.00
447,862.96,1150.82,14045.00
448,863.09,1152.58,14112.00
449,863.22,1154.34,14226.00
450,863.35,1156.09,14372.00
451,863.48,1157.85,14562.00
452,863.61,1159.61,14753.00
453,863.74,1161.36,15181.00
454,863.88,1163.11,15653.00
455,864.01,1164.87,16185.00
456,864.14,1166.62,16731.00
457,864.27,1168.37,17028.00
458,864.40,1170.12,17083.00
459,864.53,1171.87,16925.00
460,864.66,1173.62,16470.00
461,864.79,1175.36,16016.00
462,864.92,1177.11,15884.00
463,865.05,1178.85,15849.00
464,865.18,1180.60,15814.00
465,865.31,1182.34,15930.00
466,865.44,1184.08,16036.00
467,865.57,1185.82,16149.00
468,865.70,1187.56,16071.00
469,865.83,1189.30,16031.00
470,865.96,1191.04,15892.00
471,866.10,1192.78,16031.00
472,866.23,1194.51,15909.00
473,866.36,1196.25,15945.00
474,866.49,1197.98,16052.00
475,866.62,1199.71,16221.00
476,866.75,1201.45,16183.00
477,866.88,1203.18,16194.00
478,867.01,1204.91,16388.00
479,867.14,1206.64,16322.00
480,867.27,1208.36,16411.00
481,867.40,1210.09,16497.00
482,867.53,1211.82,16442.00
483,867.66,1213.54,16536.00
484,867.79,1215.27,16567.00
485,867.92,1216.99,16634.00
486,868.04,1218.71,16735.00
487,868.17,1220.43,16855.00
488,868.30,1222.15,16817.00
489,868.43,1223.87,16917.00
490,868.56,1225.59,16978.00
491,868.69,1227.31,17049.00
492,868.82,1229.02,17121.00
493,868.95,1230.74,17235.00
494,869.08,1232.45,17258.00
495,869.21,1234.16,17387.00
496,869.34,1235.88,17469.00
497,869.47,1237.59,17550.00
498,869.60,1239.30,17501.00
499,869.73,1241.01,17613.00
500,869.86,1242.71,17735.00
501,869.99,1244.42,17762.00
502,870.12,1246.13,17937.00
503,870.24,1247.83,18133.00
504,870.37,1249.54,18245.00
505,870.50,1251.24,18221.00
506,870.63,1252.94,18321.00
507,870.76,1254.64,18629.00
508,870.89,1256.34,18594.00
509,871.02,1258.04,18907.00
510,871.15,1259.74,18955.00
511,871.28,1261.44,19182.00
512,871.41,1263.13,19253.00
513,871.53,1264.83,19447.00
514,871.66,1266.52,19666.00
515,871.79,1268.22,19769.00
516,871.92,1269.91,19919.00
517,872.05,1271.60,20075.00
518,872.18,1273.29,20376.00
519,872.31,1274.98,20512.00
520,872.43,1276.67,20570.00
521,872.56,1278.35,20951.00
522,872.69,1280.04,21187.00
523,872.82,1281.73,21679.00
524,872.95,1283.41,22575.00
525,873.08,1285.09,23912.00
526,873.20,1286.78,26383.00
527,873.33,1288.46,30281.00
528,873.46,1290.14,34796.00
529,873.59,1291.82,39029.00
530,873.72,1293.49,40547.00
531,873.84,1295.17,42064.00
532,873.97,1296.85,40510.00
533,874.10,1298.52,37309.00
534,874.23,1300.20,33598.00
535,874.36,1301.87,30565.00
536,874.48,1303.54,28522.00
537,874.61,1305.21,27671.00
538,874.74,1306.88,27131.00
539,874.87,1308.55,27045.00
540,875.00,1310.22,27007.00
541,875.12,1311.89,26984.00
542,875.25,1313.56,27201.00
543,875.38,1315.22,27375.00
544,875.51,1316.89,27460.00
545,875.63,1318.55,27763.00
546,875.76,1320.21,28066.00
547,875.89,1321.87,28232.00
548,876.02,1323.53,28596.00
549,876.14,1325.19,28994.00
550,876.27,1326.85,29441.00
551,876.40,1328.51,29521.00
552,876.52,1330.16,29929.00
553,876.65,1331.82,30196.00
554,876.78,1333.47,30369.00
555,876.91,1335.13,30890.00
556,877.03,1336.78,31145.00
557,877.16,1338.43,31520.00
558,877.29,1340.08,31950.00
559,877.41,1341.73,32154.00
560,877.54,1343.38,32616.00
561,877.67,1345.03,33006.00
562,877.80,1346.67,33152.00
563,877.92,1348.32,33394.00
564,878.05,1349.96,33712.00
565,878.18,1351.61,33841.00
566,878.30,1353.25,34185.00
567,878.43,1354.89,34518.00
568,878.56,1356.53,34746.00
569,878.68,1358.17,34986.00
570,878.81,1359.81,35041.00
571,878.93,1361.45,35555.00
572,879.06,1363.08,35903.00
573,879.19,1364.72,36046.00
574,879.31,1366.35,36204.00
575,879.44,1367.99,36391.00
576,879.57,1369.62,36506.00
577,879.69,1371.25,36409.00
578,879.82,1372.88,36409.00
579,879.95,1374.51,36023.00
580,880.07,1376.14,35939.00
581,880.20,1377.77,35987.00
582,880.32,1379.39,35772.00
583,880.45,1381.02,35475.00
584,880.58,1382.64,35659.00
585,880.70,1384.27,35335.00
586,880.83,1385.89,35408.00
587,880.95,1387.51,35357.00
588,881.08,1389.13,34984.00
589,881.20,1390.75,35089.00
590,881.33,1392.37,35000.00
591,881.46,1393.99,34866.00
592,881.58,1395.60,34714.00
593,881.71,1397.22,34823.00
594,881.83,1398.83,34765.00
595,881.96,1400.45,34722.00
596,882.08,1402.06,34971.00
597,882.21,1403.67,34763.00
598,882.33,1405.28,34819.00
599,882.46,1406.89,35283.00
600,882.58,1408.50,36101.00
601,882.71,1410.11,37067.00
602,882.84,1411.71,38367.00
603,882.96,1413.32,39506.00
604,883.09,1414.92,40198.00
605,883.21,1416.53,40193.00
606,883.34,1418.13,39862.00
607,883.46,1419.73,38899.00
608,883.59,1421.33,37643.00
609,883.71,1422.93,36934.00
610,883.84,1424.53,36720.00
611,883.96,1426.13,36599.00
612,884.09,1427.72,37151.00
613,884.21,1429.32,38121.00
614,884.33,1430.91,39328.00
615,884.46,1432.51,41307.00
616,884.58,1434.10,43258.00
617,884.71,1435.69,45388.00
618,884.83,1437.28,46893.00
619,884.96,1438.87,47576.00
620,885.08,1440.46,47250.00
621,885.21,1442.05,45983.00
622,885.33,1443.64,44584.00
623,885.45,1445.22,42624.00
624,885.58,1446.81,40978.00
625,885.70,1448.39,39487.00
626,885.83,1449.97,38724.00
627,885.95,1451.55,38096.00
628,886.08,1453.14,37958.00
629,886.20,1454.72,37710.00
630,886.32,1456.29,37644.00
631,886.45,1457.87,37786.00
632,886.57,1459.45,37783.00
633,886.70,1461.02,37626.00
634,886.82,1462.60,37163.00
635,886.94,1464.17,36518.00
636,887.07,1465.75,35732.00
637,887.19,1467.32,34714.00
638,887.31,1468.89,33734.00
639,887.44,1470.46,32399.00
640,887.56,1472.03,31485.00
641,887.68,1473.59,30437.00
642,887.81,1475.16,29397.00
643,887.93,1476.73,28870.00
644,888.06,1478.29,27989.00
645,888.18,1479.86,27443.00
646,888.30,1481.42,27116.00
647,888.43,1482.98,26811.00
648,888.55,1484.54,26326.00
649,888.67,1486.10,26007.00
650,888.79,1487.66,25753.00
651,888.92,1489.22,25499.00
652,889.04,1490.77,25257.00
653,889.16,1492.33,24918.00
654,889.29,1493.88,24884.00
655,889.41,1495.44,24677.00
656,889.53,1496.99,24582.00
657,889.66,1498.54,24438.00
658,889.78,1500.09,24269.00
659,889.90,1501.64,24214.00
660,890.02,1503.19,24156.00
661,890.15,1504.74,23853.00
662,890.27,1506.29,23926.00
663,890.39,1507.83,23669.00
664,890.51,1509.38,23673.00
665,890.64,1510.92,23627.00
666,890.76,1512.47,23500.00
667,890.88,1514.01,23395.00
668,891.00,1515.55,23395.00
669,891.13,1517.09,23315.00
670,891.25,1518.63,23123.00
671,891.37,1520.16,23096.00
672,891.49,1521.70,23106.00
673,891.61,1523.24,22955.00
674,891.74,1524.77,22859.00
675,891.86,1526.31,22866.00
676,891.98,1527.84,22729.00
677,892.10,1529.37,22741.00
678,892.22,1530.90,22617.00
679,892.35,1532.43,22594.00
680,892.47,1533.96,22410.00
681,892.59,1535.49,22379.00
682,892.71,1537.02,22524.00
683,892.83,1538.54,22379.00
684,892.95,1540.07,22324.00
685,893.08,1541.59,22242.00
686,893.20,1543.11,22222.00
687,893.32,1544.64,21905.00
688,893.44,1546.16,22014.00
689,893.56,1547.68,21815.00
690,893.68,1549.20,21919.00
691,893.80,1550.71,21835.00
692,893.92,1552.23,21745.00
693,894.05,1553.75,21722.00
694,894.17,1555.26,21688.00
695,894.29,1556.78,21577.00
696,894.41,1558.29,21546.00
697,894.53,1559.80,21430.00
698,894.65,1561.31,21293.00
699,894.77,1562.82,21297.00
700,894.89,1564.33,21327.00
701,895.01,1565.84,21051.00
702,895.13,1567.35,21133.00
703,895.26,1568.85,21089.00
704,895.38,1570.36,20968.00
705,895.50,1571.86,21024.00
706,895.62,1573.36,20890.00
707,895.74,1574.87,20593.00
708,895.86,1576.37,20713.00
709,895.98,1577.87,20487.00
710,896.10,1579.37,20612.00
711,896.22,1580.87,20449.00
712,896.34,1582.36,20364.00
713,896.46,1583.86,20247.00
714,896.58,1585.35,20220.00
715,896.70,1586.85,20121.00
716,896.82,1588.34,20196.00
717,896.94,1589.83,20038.00
718,897.06,1591.32,20013.00
719,897.18,1592.81,19800.00
720,897.30,1594.30,19802.00
721,897.42,1595.79,19847.00
722,897.54,1597.28,19701.00
723,897.66,1598.76,19607.00
724,897.78,1600.25,19583.00
725,897.90,1601.73,19438.00
726,898.02,1603.22,19537.00
727,898.14,1604.70,19549.00
728,898.26,1606.18,19549.00
729,898.38,1607.66,19419.00
730,898.50,1609.14,19575.00
731,898.62,1610.62,19354.00
732,898.73,1612.10,19417.00
733,898.85,1613.57,19353.00
734,898.97,1615.05,19198.00
735,899.09,1616.52,18934.00
736,899.21,1617.99,19029.00
737,899.33,1619.47,18852.00
738,899.45,1620.94,18799.00
739,899.57,1622.41,18698.00
740,899.69,1623.88,18449.00
741,899.81,1625.35,18457.00
