ENLIGHTEN Version,1.7.2
Measurement ID,20190905-084132-329034-WP-00340
Serial Number,WP-00340
Label,08:41:32 WP-00340
Integration Time,500
Timestamp,2019-09-05 08:41:32.329034
Note,
Temperature,9.9767782325805
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785
Laser Enable,True
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed
0,801.72,265.63,468.00
1,801.86,267.83,601.00
2,802.00,270.02,752.00
3,802.14,272.22,972.00
4,802.28,274.41,1227.00
5,802.42,276.60,1585.00
6,802.56,278.80,2020.00
7,802.71,280.99,2596.00
8,802.85,283.18,3236.00
9,802.99,285.37,3994.00
10,803.13,287.55,4872.00
11,803.27,289.74,5732.00
12,803.41,291.93,6681.00
13,803.55,294.11,7588.00
14,803.69,296.30,8374.00
15,803.83,298.48,9059.00
16,803.98,300.66,9493.00
17,804.12,302.84,9983.00
18,804.26,305.02,10231.00
19,804.40,307.20,10406.00
20,804.54,309.38,10505.00
21,804.68,311.56,10598.00
22,804.82,313.74,10554.00
23,804.96,315.91,10569.00
24,805.10,318.09,10642.00
25,805.24,320.26,10581.00
26,805.39,322.43,10635.00
27,805.53,324.61,10729.00
28,805.67,326.78,10750.00
29,805.81,328.95,10782.00
30,805.95,331.12,10813.00
31,806.09,333.28,10798.00
32,806.23,335.45,10864.00
33,806.37,337.62,10935.00
34,806.51,339.78,11062.00
35,806.65,341.95,11061.00
36,806.79,344.11,11068.00
37,806.93,346.27,11109.00
38,807.08,348.43,11119.00
39,807.22,350.59,11260.00
40,807.36,352.75,11271.00
41,807.50,354.91,11340.00
42,807.64,357.07,11276.00
43,807.78,359.23,11212.00
44,807.92,361.38,11402.00
45,808.06,363.54,11264.00
46,808.20,365.69,11328.00
47,808.34,367.84,11279.00
48,808.48,370.00,11189.00
49,808.62,372.15,11292.00
50,808.76,374.30,11293.00
51,808.90,376.45,11357.00
52,809.04,378.59,11406.00
53,809.19,380.74,11407.00
54,809.33,382.89,11576.00
55,809.47,385.03,11557.00
56,809.61,387.18,11526.00
57,809.75,389.32,11601.00
58,809.89,391.46,11703.00
59,810.03,393.60,11769.00
60,810.17,395.74,11823.00
61,810.31,397.88,11840.00
62,810.45,400.02,11950.00
63,810.59,402.16,12034.00
64,810.73,404.29,12059.00
65,810.87,406.43,12226.00
66,811.01,408.57,12413.00
67,811.15,410.70,12639.00
68,811.29,412.83,12940.00
69,811.43,414.96,13033.00
70,811.57,417.09,13309.00
71,811.71,419.22,13509.00
72,811.85,421.35,13662.00
73,811.99,423.48,13785.00
74,812.13,425.61,14028.00
75,812.27,427.73,14235.00
76,812.41,429.86,14497.00
77,812.55,431.98,14732.00
78,812.69,434.11,14994.00
79,812.83,436.23,15237.00
80,812.97,438.35,15580.00
81,813.11,440.47,15694.00
82,813.26,442.59,15873.00
83,813.40,444.71,15986.00
84,813.54,446.82,16059.00
85,813.68,448.94,15946.00
86,813.82,451.05,15848.00
87,813.96,453.17,15508.00
88,814.10,455.28,15076.00
89,814.24,457.39,14687.00
90,814.38,459.51,14322.00
91,814.52,461.62,13861.00
92,814.66,463.73,13645.00
93,814.80,465.83,13187.00
94,814.94,467.94,12888.00
95,815.08,470.05,12673.00
96,815.22,472.15,12555.00
97,815.36,474.26,12239.00
98,815.50,476.36,12083.00
99,815.63,478.47,12105.00
100,815.77,480.57,11832.00
101,815.91,482.67,11882.00
102,816.05,484.77,11752.00
103,816.19,486.87,11738.00
104,816.33,488.97,11731.00
105,816.47,491.06,11714.00
